scientificName,decimalLatitude,decimalLongitude,country,koppen_value
Copernicia prunifera (Mill.) H.E.Moore,-6.702918,-38.959629,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.703539,-38.959497,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.779996,-38.469736,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.806367,-38.510084,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.788793,-44.11431,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.827139,-38.444242,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.798659,-43.058369,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.94362,-38.60604,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.948772,-36.886516,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-6.679883,-38.944944,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.80653,-38.510422,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.690397,-38.897743,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.860813,-38.503276,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.941606,-38.607563,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.847243,-38.63623,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.846139,-38.638261,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.845768,-38.63842,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.846507,-38.528436,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.075227,-37.539601,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.362628,-39.303395,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.358562,-42.676153,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.538505,-36.963672,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-3.832172,-38.400969,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.361529,-39.303116,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.724642,-38.642812,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.870945,-43.388908,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.661995,-38.801655,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.064862,-38.607495,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.193203,-37.33776,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.193181,-37.337514,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.193142,-37.337739,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.825087,-38.64145,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.194255,-37.337563,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.193053,-37.33761,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.193203,-37.337621,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.193171,-37.337578,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.06403,-38.614215,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.362682,-39.303098,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.05919,-38.61907,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-9.389218,-40.498189,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.195114,-37.337135,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.362833,-39.302776,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.362806,-39.303098,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.116212,-40.820291,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.729903,-44.698107,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.830819,-44.757444,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.133349,-40.816371,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.969987,-41.793255,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.642448,-40.331177,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.627235,-40.308015,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.848864,-38.633471,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.848065,-38.638354,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.935433,-38.606073,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.943144,-41.53276,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.909608,-41.753718,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.785718,-38.446328,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.827336,-41.836967,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.103429,-38.778646,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.063719,-39.031939,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.626878,-40.309055,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.307833,-40.535624,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.931446,-41.764812,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.927097,-41.770475,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.60972,-37.665657,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.807761,-38.511784,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.808004,-38.512239,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.807932,-38.512225,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.807365,-38.51107,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.759585,-38.959866,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.581396,-36.935218,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.984221,-38.619603,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.919553,-40.146717,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.675281,-39.2646,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.635693,-40.310284,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.713819,-38.644083,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.977996,-41.781726,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.11568,-41.772307,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.202951,-37.326961,Brazil,3
