scientificName,decimalLatitude,decimalLongitude,country,koppen_value
Saccharum officinarum L.,27.431095,85.911767,Nepal,11
Saccharum officinarum L.,-18.965792,48.64935,Madagascar,14
Saccharum officinarum L.,18.233063,-66.035386,Puerto Rico,1
Saccharum officinarum L.,-41.376769,172.076765,New Zealand,15
Saccharum officinarum L.,11.576914,77.950981,India,3
Saccharum officinarum L.,14.664052,99.371628,Thailand,3
Saccharum officinarum L.,-7.745988,112.664746,Indonesia,2
Saccharum officinarum L.,14.41638,99.507881,Thailand,3
Saccharum officinarum L.,14.089167,99.320938,Thailand,3
Saccharum officinarum L.,13.850835,99.531273,Thailand,3
Saccharum officinarum L.,17.722579,-64.88553,Virgin Islands (U.S.),0
Saccharum officinarum L.,8.134578,-76.666077,Colombia,2
Saccharum officinarum L.,7.673822,-76.689217,Colombia,1
Saccharum officinarum L.,20.01134,-97.520487,Mexico,14
Saccharum officinarum L.,-2.339702,-79.383234,Ecuador,3
Saccharum officinarum L.,-6.92632,108.717726,Indonesia,2
Saccharum officinarum L.,-6.35648,108.004425,Indonesia,3
Saccharum officinarum L.,-22.862446,45.783945,Madagascar,11
Saccharum officinarum L.,-35.714708,173.954697,New Zealand,15
Saccharum officinarum L.,-22.674038,-64.496882,Argentina,11
Saccharum officinarum L.,32.74237,-16.771917,Portugal,9
Saccharum officinarum L.,-1.054091,-80.452644,Ecuador,6
Saccharum officinarum L.,11.861949,79.792115,India,3
Saccharum officinarum L.,16.390762,100.038108,Thailand,3
Saccharum officinarum L.,11.990208,92.954943,India,2
Saccharum officinarum L.,13.068675,100.96136,Thailand,3
Saccharum officinarum L.,-8.174885,112.984417,Indonesia,1
Saccharum officinarum L.,-13.904443,167.452307,Vanuatu,1
Saccharum officinarum L.,-13.904092,167.452189,Vanuatu,1
Saccharum officinarum L.,-4.213811,152.186566,Papua New Guinea,1
Saccharum officinarum L.,-4.221446,152.18851,Papua New Guinea,1
Saccharum officinarum L.,-4.191298,152.163453,Papua New Guinea,1
Saccharum officinarum L.,-1.56669,-77.836419,Ecuador,1
Saccharum officinarum L.,-2.295593,-78.116268,Ecuador,1
Saccharum officinarum L.,-17.489509,-149.82921,French Polynesia,1
Saccharum officinarum L.,-2.344856,-78.143842,Ecuador,1
Saccharum officinarum L.,18.372933,-77.0914,Jamaica,1
Saccharum officinarum L.,16.477059,-61.454663,Guadeloupe,2
Saccharum officinarum L.,-15.934911,-49.665818,Brazil,3
Saccharum officinarum L.,30.327029,-87.404748,United States of America,14
Saccharum officinarum L.,28.807659,-17.761438,Spain,9
